date,transaction type,debit currency,debit value,credit currency,credit value,fee currency,fee value,trade currency pair,trade price currency,trade price,order id,address,transactionHash
2026-04-21 18:04:25 Z,Transfer,ZAR,25.0005836,,,,,,,,,,
2026-02-17 06:52:17 Z,Simple Buy,ZAR,99.9994164,USDT,6.114576,USDT,0.099424,USDTZAR,ZAR,16.0926,019c6a5f-02c9-77e1-8116-b981a344e336,,
2026-02-17 00:13:41 Z,Deposit,,,ZAR,75,,,,,,,,
2026-02-17 00:13:14 Z,Deposit,,,ZAR,50,,,,,,,,
2026-02-08 19:04:21 Z,Transfer,USDT,11.91,,,,,,,,,,
2026-02-08 19:00:08 Z,Transfer,USDT,0.09,,,,,,,,,,
2026-02-08 18:57:18 Z,Transfer,,,USDT,10,,,,,,,,
2026-02-08 18:53:36 Z,Transfer,,,USDT,2,,,,,,,,
2026-02-08 17:45:03 Z,Transfer,USDT,10.84250000000000001,,,,,,,,,,
2026-02-08 17:34:14 Z,Transfer,USDT,0.08249999999999999,,,,,,,,,,
2026-02-08 17:00:05 Z,Transfer,USDT,0.075,,,,,,,,,,
2026-02-08 16:56:21 Z,Transfer,,,USDT,10,,,,,,,,
2026-02-07 20:43:18 Z,Off-chain blockchain deposit,,,USDT,1,,,,,,,,
2026-02-07 19:53:49 Z,Off-chain blockchain deposit,,,BTC,0.00000905,,,,,,,,
