date,transaction type,debit currency,debit value,credit currency,credit value,fee currency,fee value,trade currency pair,trade price currency,trade price,order id,address,transactionHash
2026-02-01 19:07:16 Z,Transfer,USDT,4.65,,,,,,,,,,
2026-02-01 17:12:12 Z,Limit Sell,BTC,0.00001396,USDT,1.08243584064,USDT,0.00108351936,BTCUSDT,USDT,77616,019c1a30-cf8c-7605-8861-76cff793ad91,,
2026-02-01 13:06:45 Z,Limit Buy,USDT,1.0497372,BTC,0.00001333665,BTC,0.00000001335,BTCUSDT,USDT,78632,019c1950-1a62-7b0f-bbab-df511d5b0cb4,,
2026-02-01 12:55:23 Z,Transfer,USDT,0.075,,,,,,,,,,
2026-02-01 12:54:06 Z,Transfer,,,USDT,5,,,,,,,,
2026-02-01 12:26:45 Z,Transfer,USDT,0.09527531,,,,,,,,,,
2026-02-01 12:22:00 Z,Transfer,,,USDT,5,,,,,,,,
2026-01-25 13:19:37 Z,Transfer,BTC,0.00000116,,,,,,,,,,
2026-01-25 13:19:37 Z,Transfer,BTC,0.00000116,,,,,,,,,,
2026-01-25 13:19:36 Z,Transfer,BTC,0.00000116,,,,,,,,,,
2026-01-25 13:19:36 Z,Transfer,BTC,0.00000116,,,,,,,,,,
2026-01-25 13:19:36 Z,Transfer,BTC,0.00000116,,,,,,,,,,
2026-01-25 13:19:36 Z,Transfer,BTC,0.00000116,,,,,,,,,,
2026-01-25 13:19:36 Z,Transfer,BTC,0.00000116,,,,,,,,,,
2026-01-25 13:19:36 Z,Transfer,BTC,0.00000116,,,,,,,,,,
2026-01-25 13:19:36 Z,Transfer,BTC,0.00000116,,,,,,,,,,
2026-01-25 13:19:36 Z,Transfer,BTC,0.00000116,,,,,,,,,,
2026-01-25 13:19:36 Z,Transfer,BTC,0.00000116,,,,,,,,,,
2026-01-25 13:19:33 Z,Transfer,BTC,0.00000116,,,,,,,,,,
2026-01-25 13:19:33 Z,Transfer,BTC,0.00000116,,,,,,,,,,
2026-01-25 13:19:31 Z,Transfer,BTC,0.00000116,,,,,,,,,,
2026-01-25 13:19:31 Z,Transfer,BTC,0.00000116,,,,,,,,,,
2026-01-25 13:19:30 Z,Transfer,BTC,0.00000116,,,,,,,,,,
2026-01-25 13:19:30 Z,Transfer,BTC,0.00000116,,,,,,,,,,
2026-01-25 13:19:30 Z,Transfer,BTC,0.00000116,,,,,,,,,,
2026-01-25 13:19:30 Z,Transfer,BTC,0.00000116,,,,,,,,,,
2026-01-25 13:19:30 Z,Transfer,BTC,0.00000116,,,,,,,,,,
2026-01-25 13:19:27 Z,Transfer,BTC,0.00000116,,,,,,,,,,
2026-01-25 13:19:27 Z,Transfer,BTC,0.00000116,,,,,,,,,,
2026-01-25 13:19:27 Z,Transfer,BTC,0.00000116,,,,,,,,,,
2026-01-25 13:19:26 Z,Transfer,BTC,0.0000017399999999999999,,,,,,,,,,
2026-01-25 13:19:26 Z,Transfer,BTC,0.00000116,,,,,,,,,,
2026-01-25 13:19:26 Z,Transfer,BTC,0.00000116,,,,,,,,,,
2026-01-25 13:19:26 Z,Transfer,BTC,0.00000116,,,,,,,,,,
2026-01-25 13:19:25 Z,Transfer,BTC,0.00000232,,,,,,,,,,
2026-01-25 13:19:25 Z,Transfer,BTC,0.00000232,,,,,,,,,,
2026-01-25 13:19:25 Z,Transfer,BTC,0.00000232,,,,,,,,,,
2026-01-25 13:19:25 Z,Transfer,BTC,0.00000116,,,,,,,,,,
2026-01-25 13:19:25 Z,Transfer,BTC,0.00000232,,,,,,,,,,
2026-01-25 13:19:25 Z,Transfer,BTC,0.0000017399999999999999,,,,,,,,,,
2026-01-25 13:19:25 Z,Transfer,BTC,0.00000116,,,,,,,,,,
2026-01-25 13:19:22 Z,Transfer,BTC,0.00000116,,,,,,,,,,
2026-01-25 13:19:20 Z,Transfer,BTC,0.00000116,,,,,,,,,,
2026-01-25 13:19:20 Z,Transfer,BTC,0.00000116,,,,,,,,,,
2026-01-25 13:19:20 Z,Transfer,BTC,0.00000116,,,,,,,,,,
2026-01-25 13:19:20 Z,Transfer,BTC,0.00000116,,,,,,,,,,
2026-01-25 13:19:20 Z,Transfer,BTC,0.00000116,,,,,,,,,,
2026-01-25 13:19:17 Z,Transfer,BTC,0.00000116,,,,,,,,,,
2026-01-25 13:19:16 Z,Transfer,BTC,0.00000116,,,,,,,,,,
2026-01-25 13:19:16 Z,Transfer,BTC,0.00000116,,,,,,,,,,
2026-01-25 13:19:16 Z,Transfer,BTC,0.00000116,,,,,,,,,,
2026-01-25 13:19:16 Z,Transfer,BTC,0.00000116,,,,,,,,,,
2026-01-25 13:19:13 Z,Transfer,BTC,0.0000012099999999999998,,,,,,,,,,
2026-01-25 11:49:26 Z,Transfer,BTC,0.00001,,,,,,,,,,
2026-01-25 11:30:14 Z,Transfer,BTC,0.00000103,,,,,,,,,,
2026-01-25 11:30:13 Z,Transfer,BTC,0.00000103,,,,,,,,,,
2026-01-25 11:30:12 Z,Transfer,BTC,0.0000010299999999999999,,,,,,,,,,
2026-01-25 11:18:41 Z,Transfer,,,BTC,0.00007265712,,,,,,,,
2026-01-25 10:56:53 Z,Transfer,BTC,0.00000106,,,,,,,,,,
2026-01-24 20:25:03 Z,Transfer,BTC,0.000005,,,,,,,,,,
2026-01-24 20:03:52 Z,Transfer,BTC,0.00006,,,,,,,,,,
2026-01-24 10:45:25 Z,Transfer,BTC,0.00001052,,,,,,,,,,
2026-01-24 10:16:24 Z,Transfer,,,BTC,0.000076850352,,,,,,,,
2026-01-24 10:15:38 Z,Transfer,BTC,0.000076850352,,,,,,,,,,
2026-01-24 10:14:49 Z,Transfer,,,BTC,0.000076850352,,,,,,,,
2026-01-24 10:13:56 Z,Transfer,BTC,0.000076850352,,,,,,,,,,
2026-01-24 10:13:08 Z,Transfer,,,BTC,0.000076850352,,,,,,,,
2026-01-24 10:12:16 Z,Transfer,BTC,0.000076850352,,,,,,,,,,
2026-01-24 10:11:24 Z,Transfer,,,BTC,0.000076850352,,,,,,,,
2026-01-24 10:10:30 Z,Transfer,BTC,0.000076850352,,,,,,,,,,
2026-01-24 10:09:36 Z,Transfer,,,BTC,0.000076850352,,,,,,,,
2026-01-24 10:08:44 Z,Transfer,BTC,0.000076850352,,,,,,,,,,
2026-01-24 10:07:55 Z,Transfer,,,BTC,0.000076850352,,,,,,,,
2026-01-24 10:07:05 Z,Transfer,BTC,0.000076850352,,,,,,,,,,
2026-01-24 10:06:11 Z,Transfer,,,BTC,0.000076850352,,,,,,,,
2026-01-24 10:05:17 Z,Transfer,BTC,0.000076850352,,,,,,,,,,
2026-01-24 10:04:23 Z,Transfer,,,BTC,0.000076850352,,,,,,,,
2026-01-24 10:03:24 Z,Transfer,BTC,0.000076850352,,,,,,,,,,
2026-01-24 10:02:30 Z,Transfer,,,BTC,0.000076850352,,,,,,,,
2026-01-24 10:01:29 Z,Transfer,BTC,0.000076850352,,,,,,,,,,
2026-01-24 09:59:55 Z,Transfer,,,BTC,0.000076850352,,,,,,,,
2026-01-24 09:58:43 Z,Transfer,BTC,0.000076850352,,,,,,,,,,
2026-01-24 09:57:46 Z,Transfer,,,BTC,0.000076850352,,,,,,,,
2026-01-24 09:56:48 Z,Transfer,BTC,0.000076850352,,,,,,,,,,
2026-01-24 09:55:46 Z,Transfer,,,BTC,0.000076850352,,,,,,,,
2026-01-24 09:54:45 Z,Transfer,BTC,0.000076850352,,,,,,,,,,
2026-01-24 09:53:08 Z,Transfer,,,BTC,0.000076850352,,,,,,,,
2026-01-24 09:51:42 Z,Transfer,BTC,0.000076850352,,,,,,,,,,
2026-01-24 09:50:18 Z,Transfer,,,BTC,0.000076850352,,,,,,,,
2026-01-24 09:48:44 Z,Transfer,BTC,0.000076850352,,,,,,,,,,
2026-01-24 09:47:18 Z,Transfer,,,BTC,0.000076850352,,,,,,,,
2026-01-24 09:41:14 Z,Transfer,BTC,0.000076850352,,,,,,,,,,
2026-01-24 09:39:25 Z,Transfer,,,BTC,0.000076850352,,,,,,,,
2026-01-24 09:37:07 Z,Transfer,BTC,0.000076850352,,,,,,,,,,
2026-01-24 09:32:15 Z,Transfer,,,BTC,0.000076850352,,,,,,,,
2026-01-24 09:24:50 Z,Transfer,BTC,0.000076850352,,,,,,,,,,
2026-01-23 17:32:56 Z,Transfer,,,BTC,0.000076850352,,,,,,,,
2026-01-23 16:57:30 Z,Transfer,BTC,0.000076850352,,,,,,,,,,
2026-01-23 16:00:13 Z,Transfer,,,BTC,0.000076850352,,,,,,,,
2026-01-23 14:51:32 Z,Transfer,BTC,0.000076850352,,,,,,,,,,
2026-01-23 08:54:08 Z,Transfer,,,BTC,0.000076850352,,,,,,,,
2026-01-23 08:03:31 Z,Transfer,USDT,7.2994225428,,,,,,,,,,
2026-01-22 20:19:22 Z,Transfer,USDT,0.05732531,,,,,,,,,,
2026-01-22 20:17:36 Z,Transfer,USDT,0.05732531,,,,,,,,,,
2026-01-22 20:15:47 Z,Transfer,USDT,0.05732531,,,,,,,,,,
2026-01-22 20:13:23 Z,Transfer,USDT,0.05732531,,,,,,,,,,
2026-01-22 20:08:19 Z,Transfer,USDT,0.05732531,,,,,,,,,,
2026-01-22 19:40:50 Z,Transfer,USDT,0.05732531,,,,,,,,,,
2026-01-22 17:08:05 Z,Transfer,,,USDT,7.6433744028,,,,,,,,
