date,action,rule,trade_pct,btc_price,usdt_before,usdt_delta,usdt_after,btc_before,btc_delta,btc_fee,btc_after,nav,peak_nav,drawdown_pct,bear_pause,contrib_gross,contrib_net,platform_fee_paid,perf_fee_paid,platform_fees_cum,cum_gross_contrib,cagr_pct,total_roi_pct
2016/03/06,BUY,Base3,22,405.6,462.9885,-101.8575,361.1311,24.12284129,0.250927,0.0002009,24.37376829,10247.13,10920.28,6.1642,0,0,0,0,0,82.3515,11000,-84.271,-6.8443
2016/03/07,BUY,Base3,22,413.92,361.1311,-79.4488,281.6822,24.37376829,0.19178893,0.00015355,24.56555722,10449.86,10920.28,4.3077,0,0,0,0,0,82.3515,11000,-71.3301,-5.0013
2016/03/08,BUY,Base3,22,412.79,281.6822,-61.9701,219.7121,24.56555722,0.15000488,0.0001201,24.7155621,10422.05,10920.28,4.5624,0,0,0,0,0,82.3515,11000,-70.8312,-5.2541
2016/03/09,BUY,Base3,22,413.97,219.7121,-48.3367,171.3755,24.7155621,0.11667029,0.00009341,24.83223239,10451.17,10920.28,4.2957,0,0,0,0,0,82.3515,11000,-66.7008,-4.9893
2016/03/10,BUY,Base3,22,417.09,171.3755,-37.7026,133.6729,24.83223239,0.09032209,0.00007232,24.92255448,10528.62,10920.28,3.5865,0,0,0,0,0,82.3515,11000,-58.8823,-4.2853
2016/03/11,BUY,Base3,22,420.78,133.6729,-29.408,104.2648,24.92255448,0.06983341,0.00005591,24.99238789,10620.56,10920.28,2.7446,0,0,0,0,0,82.3515,11000,-49.075,-3.4494
2016/03/12,BUY,Base3,22,410.35,104.2648,-22.9383,81.3266,24.99238789,0.05585455,0.00004472,25.04824244,10359.87,10920.28,5.1318,0,0,0,0,0,82.3515,11000,-66.5438,-5.8193
2016/03/13,BUY,Base3,22,413.09,81.3266,-17.8918,63.4347,25.04824244,0.04327757,0.00003465,25.09152001,10428.49,10920.28,4.5034,0,0,0,0,0,82.3515,11000,-60.4646,-5.1955
2016/03/14,BUY,Base3,22,416.81,63.4347,-13.9556,49.4791,25.09152001,0.03345523,0.00002679,25.12497524,10521.82,10920.28,3.6488,0,0,0,0,0,82.3515,11000,-52.187,-4.3471
2016/03/15,BUY,Base3,22,417.28,49.4791,-10.8854,38.5937,25.12497524,0.02606569,0.00002087,25.15104093,10533.62,10920.28,3.5407,0,0,0,0,0,82.3515,11000,-49.7416,-4.2398
2016/03/16,BUY,Base3,22,418.38,38.5937,-8.4906,30.1031,25.15104093,0.02027778,0.00001624,25.17131871,10561.28,10920.28,3.2874,0,0,0,0,0,82.3515,11000,-46.1741,-3.9884
2016/03/17,BUY,Base3,22,420.43,30.1031,-6.6227,23.4804,25.17131871,0.01573955,0.0000126,25.18705826,10612.88,10920.28,2.8149,0,0,0,0,0,82.3515,11000,-40.752,-3.5193
2016/03/18,BUY,Base3,22,409.52,23.4804,-5.1657,18.3147,25.18705826,0.01260391,0.00001009,25.19966218,10338.08,10920.28,5.3313,0,0,0,0,0,82.3515,11000,-58.1818,-6.0175
2016/03/19,BUY,Base3,22,410.83,18.3147,-4.0292,14.2855,25.19966218,0.00979971,0.00000785,25.20946188,10371.09,10920.28,5.0291,0,0,0,0,0,82.3515,11000,-54.9062,-5.7174
2016/03/20,BUY,Base3,22,413.27,14.2855,-3.1428,11.1427,25.20946188,0.00759864,0.00000608,25.21706052,10432.6,10920.28,4.4658,0,0,0,0,0,82.3515,11000,-49.8847,-5.1582
2016/03/21,BUY,Base3,22,412.75,11.1427,-2.4514,8.6913,25.21706052,0.00593441,0.00000475,25.22299493,10419.48,10920.28,4.5859,0,0,0,0,0,82.3515,11000,-49.4832,-5.2774
2016/03/22,BUY,Base3,22,418.34,8.6913,-1.9121,6.7792,25.22299493,0.00456699,0.00000366,25.22756191,10560.48,10920.28,3.2948,0,0,0,0,0,82.3515,11000,-39.1317,-3.9957
2016/03/23,BUY,Base3,22,419.36,6.7792,-1.4914,5.2878,25.22756191,0.00355358,0.00000285,25.2311155,10586.21,10920.28,3.0591,0,0,0,0,0,82.3515,11000,-36.3499,-3.7617
2016/03/24,BUY,Base3,22,416.09,5.2878,-1.1633,4.1245,25.2311155,0.00279358,0.00000224,25.23390908,10503.7,10920.28,3.8147,0,0,0,0,0,82.3515,11000,-40.9602,-4.5118
2016/03/25,BUY,Base3,22,417.97,4.1245,-0.9074,3.2171,25.23390908,0.00216919,0.00000174,25.23607827,10551.14,10920.28,3.3803,0,0,0,0,0,82.3515,11000,-36.942,-4.0805
2016/03/26,BUY,Base3,22,418.44,3.2171,-0.7078,2.5093,25.23607827,0.00169007,0.00000135,25.23776834,10563,10920.28,3.2717,0,0,0,0,0,82.3515,11000,-35.3048,-3.9727
2016/03/27,BUY,Base3,22,427.51,2.5093,-0.5521,1.9573,25.23776834,0.00129029,0.00000103,25.23905862,10791.91,10920.28,1.1755,0,0,0,0,0,82.3515,11000,-18.0703,-1.8918
