date,action,rule,trade_pct,btc_price,usdt_before,usdt_delta,usdt_after,btc_before,btc_delta,btc_fee,btc_after,nav,peak_nav,drawdown_pct,bear_pause,contrib_gross,contrib_net,perf_fee_paid,cum_gross_contrib,cagr_pct,,,
2020/02/08,BUY,Base4,20,9893.41,42.6854,-8.5371,34.1484,1.38344507,0.00086222,0.00000069,1.38430729,13729.67,13729.67,0,0,0,0,0,11000,741.9893,,,
2020/02/09,BUY,Base4,20,10159.85,34.1484,-6.8297,27.3187,1.38430729,0.00067168,0.00000054,1.38497897,14098.5,14098.5,0,0,0,0,0,11000,921.8861,,,
2020/02/10,BUY,Base4,20,9846.75,27.3187,-5.4637,21.8549,1.38497897,0.00055443,0.00000044,1.38553341,13664.86,14098.5,3.0758,0,0,0,0,11000,624.8977,,,
2020/02/11,BUY,Base4,20,10237.31,21.8549,-4.371,17.484,1.38553341,0.00042663,0.00000034,1.38596003,14205.99,14205.99,0,0,0,0,0,11000,876.2224,,,
2020/02/12,BUY,Base4,20,10339.47,17.484,-3.4968,13.9872,1.38596003,0.00033793,0.00000027,1.38629796,14347.57,14347.57,0,0,0,0,0,11000,907.9618,,,
2020/02/13,BUY,Base4,20,10225.4,13.9872,-2.7974,11.1897,1.38629796,0.00027336,0.00000022,1.38657132,14189.44,14347.57,1.1022,0,0,0,0,11000,769.4067,,,
2020/02/14,BUY,Base4,20,10347.94,11.1897,-2.2379,8.9518,1.38657132,0.0002161,0.00000017,1.38678742,14359.34,14359.34,0,0,0,0,0,11000,813.6705,,,
2020/02/15,BUY,Base4,20,9899.93,8.9518,-1.7904,7.1614,1.38678742,0.0001807,0.00000014,1.38696812,13738.05,14359.34,4.3268,0,0,0,0,11000,507.4647,,,
2020/02/16,BUY,Base4,20,9938.87,7.1614,-1.4323,5.7291,1.38696812,0.00014399,0.00000012,1.38711211,13792.06,14359.34,3.9507,0,0,0,0,11000,502.5843,,,
2020/02/17,BUY,Base4,20,9705.57,5.7291,-1.1458,4.5833,1.38711211,0.00011796,0.00000009,1.38723007,13468.44,14359.34,6.2043,0,0,0,0,11000,382.2663,,,
2020/02/18,BUY,Base4,20,10176.91,4.5833,-0.9167,3.6667,1.38723007,0.00009,0.00000007,1.38732008,14122.3,14359.34,1.6508,0,0,0,0,11000,569.4433,,,
2020/02/19,BUY,Base4,20,9603.59,3.6667,-0.7333,2.9333,1.38732008,0.0000763,0.00000006,1.38739637,13326.92,14359.34,7.1899,0,0,0,0,11000,318.0242,,,
2020/02/20,BUY,Base4,20,9753.18,2.9333,-0.5867,2.3467,1.38739637,0.0000601,0.00000005,1.38745648,13534.46,14359.34,5.7446,0,0,0,0,11000,354.781,,,
2020/02/21,BUY,Base4,20,9725.82,2.3467,-0.4693,1.8773,1.38745648,0.00004822,0.00000004,1.38750469,13496.5,14359.34,6.009,0,0,0,0,11000,332.6814,,,
2020/02/22,BUY,Base4,20,9864.96,1.8773,-0.3755,1.5019,1.38750469,0.00003803,0.00000003,1.38754272,13689.56,14359.34,4.6645,0,0,0,0,11000,364.7936,,,
2020/02/23,BUY,Base4,20,9976.32,1.5019,-0.3004,1.2015,1.38754272,0.00003008,0.00000002,1.38757281,13844.07,14359.34,3.5884,0,0,0,0,11000,387.8239,,,
2020/02/24,BUY,Base4,20,9794.02,1.2015,-0.2403,0.9612,1.38757281,0.00002452,0.00000002,1.38759732,13591.12,14359.34,5.35,0,0,0,0,11000,318.1649,,,
2020/02/25,BUY,Base4,20,9370.61,0.9612,-0.1922,0.769,1.38759732,0.0000205,0.00000002,1.38761782,13003.59,14359.34,9.4416,0,0,0,0,11000,203.8084,,,
2020/02/26,BUY,Base3,22,8805.11,0.769,-0.1692,0.5998,1.38761782,0.0000192,0.00000002,1.38763702,12218.9,14359.34,14.9063,0,0,0,0,11000,98.4605,,,
2020/02/27,BUY,Base4,20,8834.23,0.5998,-0.12,0.4798,1.38763702,0.00001357,0.00000001,1.38765059,12259.3,14359.34,14.6249,0,0,0,0,11000,100.281,,,
